iter	MultiClass
897	0.008634940755
898	0.008622869494
899	0.008610561314
900	0.008601753752
901	0.008587150489
902	0.008573815547
903	0.008563031305
904	0.008552596633
905	0.0085419368
906	0.008530253594
907	0.008513953159
908	0.008500797335
909	0.00848805782
910	0.008482892248
911	0.008475352827
912	0.008465413132
913	0.008461093452
914	0.008456854945
915	0.008452825865
916	0.008445082266
917	0.008436539642
918	0.008426168447
919	0.008415648309
920	0.008408844446
921	0.008403472339
922	0.00838604646
923	0.008377490052
924	0.008363712396
925	0.008359674772
926	0.00834798773
927	0.008339767649
928	0.008332492655
929	0.008325349387
930	0.008309318942
931	0.008301842158
932	0.008297539454
933	0.008293294548
934	0.008278989827
935	0.008255960894
936	0.008249461512
937	0.008231201487
938	0.00822536787
939	0.008218605324
940	0.008208445282
941	0.008201161667
942	0.008192797552
943	0.008189735454
944	0.008183642889
945	0.008172621232
946	0.008143145464
947	0.008136349566
948	0.008120893245
949	0.008114829739
950	0.008112032978
951	0.008101601735
952	0.008092597783
953	0.008081871141
954	0.008067038818
955	0.008061949328
956	0.008058059988
957	0.008047571274
958	0.008029408535
959	0.00801779846
960	0.008008112503
961	0.008002354037
962	0.00799369871
963	0.007987737262
964	0.007980714495
965	0.007971422749
966	0.007953290725
967	0.007945922851
968	0.00793663012
969	0.007922951778
970	0.007911330621
971	0.00790456101
972	0.007898603204
973	0.007880213956
974	0.007872269567
975	0.007865780707
976	0.007845754362
977	0.007836109306
978	0.007825416753
979	0.007814663931
980	0.007809321859
981	0.00779889295
982	0.007793337924
983	0.007765938513
984	0.007742058787
985	0.007737023121
986	0.007730212382
987	0.007722020659
988	0.007711574356
989	0.007696595442
990	0.007691046831
991	0.007683340356
992	0.007674597806
993	0.007664420326
994	0.007650989814
995	0.007639390588
996	0.007632359604
997	0.007617153874
998	0.007609051084
999	0.007602689492
